name,sku,parent_sku,description,metadata,category_names,tag_names,quantities,list_prices,discount_codes,net_prices,image_url
"""Acrylic Board Toque""","""0030M-BL""","""0030M-BL""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Black""}","[""Clothing""]",,"[1,144,576]","[""5.50"",""5.40"",""5.20""]",,"[2.3649999999999998,2.3649999999999998,2.3649999999999998]","""http://www.ajmintl.com/images_1/style_images_medium/0030M-BL.jpg"""
"""Acrylic Board Toque""","""0030M-BR""","""0030M-BL""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Brown""}","[""Clothing""]",,"[1,144,576]","[""5.50"",""5.40"",""5.20""]",,"[2.3649999999999998,2.3649999999999998,2.3649999999999998]","""http://www.ajmintl.com/images_1/style_images_medium/0030M-BR.jpg"""
"""Acrylic Board Toque""","""0030M-CH""","""0030M-BL""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Charcoal""}","[""Clothing""]",,"[1,144,576]","[""5.50"",""5.40"",""5.20""]",,"[2.3649999999999998,2.3649999999999998,2.3649999999999998]","""http://www.ajmintl.com/images_1/style_images_medium/0030M-CH.jpg"""
"""Acrylic Board Toque""","""0030M-FG""","""0030M-BL""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Forest Green""}","[""Clothing""]",,"[1,144,576]","[""5.50"",""5.40"",""5.20""]",,"[2.3649999999999998,2.3649999999999998,2.3649999999999998]","""http://www.ajmintl.com/images_1/style_images_medium/0030M-FG.jpg"""
"""Acrylic Board Toque""","""0030M-FL""","""0030M-BL""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Fluorescent Orange""}","[""Clothing""]",,"[1,144,576]","[""5.50"",""5.40"",""5.20""]",,"[2.3649999999999998,2.3649999999999998,2.3649999999999998]","""http://www.ajmintl.com/images_1/style_images_medium/0030M-FL.jpg"""
"""Acrylic Board Toque""","""0030M-NV""","""0030M-BL""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Navy""}","[""Clothing""]",,"[1,144,576]","[""5.50"",""5.40"",""5.20""]",,"[2.3649999999999998,2.3649999999999998,2.3649999999999998]","""http://www.ajmintl.com/images_1/style_images_medium/0030M-NV.jpg"""
"""Acrylic Board Toque""","""0030M-PK""","""0030M-BL""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Pink""}","[""Clothing""]",,"[1,144,576]","[""5.50"",""5.40"",""5.20""]",,"[2.3649999999999998,2.3649999999999998,2.3649999999999998]","""http://www.ajmintl.com/images_1/style_images_medium/0030M-PK.jpg"""
"""Acrylic Board Toque""","""0030M-RD""","""0030M-BL""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Red""}","[""Clothing""]",,"[1,144,576]","[""5.50"",""5.40"",""5.20""]",,"[2.3649999999999998,2.3649999999999998,2.3649999999999998]","""http://www.ajmintl.com/images_1/style_images_medium/0030M-RD.jpg"""
"""Acrylic Board Toque""","""0030M-RY""","""0030M-BL""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Royal Blue""}","[""Clothing""]",,"[1,144,576]","[""5.50"",""5.40"",""5.20""]",,"[2.3649999999999998,2.3649999999999998,2.3649999999999998]","""http://www.ajmintl.com/images_1/style_images_medium/0030M-RY.jpg"""
"""Acrylic Board Toque""","""0030M-SL""","""0030M-BL""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Slate""}","[""Clothing""]",,"[1,144,576]","[""5.50"",""5.40"",""5.20""]",,"[2.3649999999999998,2.3649999999999998,2.3649999999999998]","""http://www.ajmintl.com/images_1/style_images_medium/0030M-SL.jpg"""
"""Acrylic Board Toque""","""0030M-SN""","""0030M-BL""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Sand""}","[""Clothing""]",,"[1,144,576]","[""5.50"",""5.40"",""5.20""]",,"[2.3649999999999998,2.3649999999999998,2.3649999999999998]","""http://www.ajmintl.com/images_1/style_images_medium/0030M-SN.jpg"""
"""Acrylic Board Toque""","""0030M-WH""","""0030M-BL""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""White""}","[""Clothing""]",,"[1,144,576]","[""5.50"",""5.40"",""5.20""]",,"[2.3649999999999998,2.3649999999999998,2.3649999999999998]","""http://www.ajmintl.com/images_1/style_images_medium/0030M-WH.jpg"""
"""Acrylic Board Toque""","""0031M-BL/RD""","""0031M-BL/RD""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Black/Red""}","[""Clothing""]",,"[1,144,576]","[""6.30"",""6.20"",""6.00""]",,"[2.709,2.709,2.709]","""http://www.ajmintl.com/images_1/style_images_medium/0031M-BL_RD.jpg"""
"""Acrylic Board Toque""","""0031M-BL/SL""","""0031M-BL/RD""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Black/Slate""}","[""Clothing""]",,"[1,144,576]","[""6.30"",""6.20"",""6.00""]",,"[2.709,2.709,2.709]","""http://www.ajmintl.com/images_1/style_images_medium/0031M-BL_SL.jpg"""
"""Acrylic Board Toque""","""0031M-NV/SL""","""0031M-BL/RD""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Navy/Slate""}","[""Clothing""]",,"[1,144,576]","[""6.30"",""6.20"",""6.00""]",,"[2.709,2.709,2.709]","""http://www.ajmintl.com/images_1/style_images_medium/0031M-NV_SL.jpg"""
"""Acrylic Board Toque""","""0031M-RD/BL""","""0031M-BL/RD""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Red/Black""}","[""Clothing""]",,"[1,144,576]","[""6.30"",""6.20"",""6.00""]",,"[2.709,2.709,2.709]","""http://www.ajmintl.com/images_1/style_images_medium/0031M-RD_BL.jpg"""
"""Acrylic Board Toque""","""0031M-RY/BL""","""0031M-BL/RD""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Royal Blue/Black""}","[""Clothing""]",,"[1,144,576]","[""6.30"",""6.20"",""6.00""]",,"[2.709,2.709,2.709]","""http://www.ajmintl.com/images_1/style_images_medium/0031M-RY_BL.jpg"""
"""Acrylic Board Toque""","""0031M-SL/BL""","""0031M-BL/RD""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Slate/Black""}","[""Clothing""]",,"[1,144,576]","[""6.30"",""6.20"",""6.00""]",,"[2.709,2.709,2.709]","""http://www.ajmintl.com/images_1/style_images_medium/0031M-SL_BL.jpg"""
"""Acrylic Board Toque""","""0031M-SL/DG""","""0031M-BL/RD""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Slate/Dark Grey""}","[""Clothing""]",,"[1,144,576]","[""6.30"",""6.20"",""6.00""]",,"[2.709,2.709,2.709]","""http://www.ajmintl.com/images_1/style_images_medium/0031M-SL_DG.jpg"""
"""Acrylic Board Toque""","""0031M-SL/NV""","""0031M-BL/RD""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Slate/Navy""}","[""Clothing""]",,"[1,144,576]","[""6.30"",""6.20"",""6.00""]",,"[2.709,2.709,2.709]","""http://www.ajmintl.com/images_1/style_images_medium/0031M-SL_NV.jpg"""
"""Acrylic Board Toque""","""0034M-BL/CH""","""0034M-BL/CH""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Black/Charcoal""}","[""Clothing""]",,"[1,144,576]","[""6.30"",""6.20"",""6.00""]",,"[2.709,2.709,2.709]","""http://www.ajmintl.com/images_1/style_images_medium/0034M-BL_CH.jpg"""
"""Acrylic Board Toque""","""0034M-BL/RD""","""0034M-BL/CH""","""Acrylic\nBoard Toque\nRib knit""","{""color"":""Black/Red""}","[""Clothing""]",,"[1,144,576]","[""6.30"",""6.20"",""6.00""]",,"[2.709,2.709,2.709]","""http://www.ajmintl.com/images_1/style_images_medium/0034M-BL_RD.jpg"""
