StyleCode,Description_En,Description_Fr,Catalogue_Supplement_Page_En,Catalogue_Supplement_Page_Fr,# of Colourways,Colourways,Colourway_En,Colourway_Fr,Mp Price,CL Price,VP Price,WebLink,Sizing,Short_Description_En,Short_Description_Fr
0030M,Acrylic~Board Toque~Rib knit,Acrylique~Tuque «Board»~Tricot côtelé,"Page # 121,149 of catalogue~Page # 5,41 of supplement","Page # 121,149 du catalogue~Page # 5,41 du suppl&eacute;ment",12,BL,Black,Noir,$5.50 ,$5.40 ,$5.20 ,http://www.ajmintl.com/product_style_info.aspx?mystylecode=0030M&mycolorimg=0030M-BL.jpg,N/A,Acrylic~Board Toque,Acrylique~Tuque «Board»
0030M,Acrylic~Board Toque~Rib knit,Acrylique~Tuque «Board»~Tricot côtelé,"Page # 121,149 of catalogue~Page # 5,41 of supplement","Page # 121,149 du catalogue~Page # 5,41 du suppl&eacute;ment",,BR,Brown,Brun,$5.50 ,$5.40 ,$5.20 ,http://www.ajmintl.com/product_style_info.aspx?mystylecode=0030M&mycolorimg=0030M-BR.jpg,N/A,Acrylic~Board Toque,Acrylique~Tuque «Board»
0030M,Acrylic~Board Toque~Rib knit,Acrylique~Tuque «Board»~Tricot côtelé,"Page # 121,149 of catalogue~Page # 5,41 of supplement","Page # 121,149 du catalogue~Page # 5,41 du suppl&eacute;ment",,CH,Charcoal,Gris charbon,$5.50 ,$5.40 ,$5.20 ,http://www.ajmintl.com/product_style_info.aspx?mystylecode=0030M&mycolorimg=0030M-CH.jpg,N/A,Acrylic~Board Toque,Acrylique~Tuque «Board»
0030M,Acrylic~Board Toque~Rib knit,Acrylique~Tuque «Board»~Tricot côtelé,"Page # 121,149 of catalogue~Page # 5,41 of supplement","Page # 121,149 du catalogue~Page # 5,41 du suppl&eacute;ment",,FG,Forest Green,Vert forêt,$5.50 ,$5.40 ,$5.20 ,http://www.ajmintl.com/product_style_info.aspx?mystylecode=0030M&mycolorimg=0030M-FG.jpg,N/A,Acrylic~Board Toque,Acrylique~Tuque «Board»
0030M,Acrylic~Board Toque~Rib knit,Acrylique~Tuque «Board»~Tricot côtelé,"Page # 121,149 of catalogue~Page # 5,41 of supplement","Page # 121,149 du catalogue~Page # 5,41 du suppl&eacute;ment",,FL,Fluorescent Orange,Orange Fluorescent,$5.50 ,$5.40 ,$5.20 ,http://www.ajmintl.com/product_style_info.aspx?mystylecode=0030M&mycolorimg=0030M-FL.jpg,N/A,Acrylic~Board Toque,Acrylique~Tuque «Board»
0030M,Acrylic~Board Toque~Rib knit,Acrylique~Tuque «Board»~Tricot côtelé,"Page # 121,149 of catalogue~Page # 5,41 of supplement","Page # 121,149 du catalogue~Page # 5,41 du suppl&eacute;ment",,NV,Navy,Bleu marine,$5.50 ,$5.40 ,$5.20 ,http://www.ajmintl.com/product_style_info.aspx?mystylecode=0030M&mycolorimg=0030M-NV.jpg,N/A,Acrylic~Board Toque,Acrylique~Tuque «Board»
0030M,Acrylic~Board Toque~Rib knit,Acrylique~Tuque «Board»~Tricot côtelé,"Page # 121,149 of catalogue~Page # 5,41 of supplement","Page # 121,149 du catalogue~Page # 5,41 du suppl&eacute;ment",,PK,Pink,Rose,$5.50 ,$5.40 ,$5.20 ,http://www.ajmintl.com/product_style_info.aspx?mystylecode=0030M&mycolorimg=0030M-PK.jpg,N/A,Acrylic~Board Toque,Acrylique~Tuque «Board»
0030M,Acrylic~Board Toque~Rib knit,Acrylique~Tuque «Board»~Tricot côtelé,"Page # 121,149 of catalogue~Page # 5,41 of supplement","Page # 121,149 du catalogue~Page # 5,41 du suppl&eacute;ment",,RD,Red,Rouge,$5.50 ,$5.40 ,$5.20 ,http://www.ajmintl.com/product_style_info.aspx?mystylecode=0030M&mycolorimg=0030M-RD.jpg,N/A,Acrylic~Board Toque,Acrylique~Tuque «Board»
0030M,Acrylic~Board Toque~Rib knit,Acrylique~Tuque «Board»~Tricot côtelé,"Page # 121,149 of catalogue~Page # 5,41 of supplement","Page # 121,149 du catalogue~Page # 5,41 du suppl&eacute;ment",,RY,Royal Blue,Bleu royal,$5.50 ,$5.40 ,$5.20 ,http://www.ajmintl.com/product_style_info.aspx?mystylecode=0030M&mycolorimg=0030M-RY.jpg,N/A,Acrylic~Board Toque,Acrylique~Tuque «Board»
0030M,Acrylic~Board Toque~Rib knit,Acrylique~Tuque «Board»~Tricot côtelé,"Page # 121,149 of catalogue~Page # 5,41 of supplement","Page # 121,149 du catalogue~Page # 5,41 du suppl&eacute;ment",,SL,Slate,Gris ardoise,$5.50 ,$5.40 ,$5.20 ,http://www.ajmintl.com/product_style_info.aspx?mystylecode=0030M&mycolorimg=0030M-SL.jpg,N/A,Acrylic~Board Toque,Acrylique~Tuque «Board»
0030M,Acrylic~Board Toque~Rib knit,Acrylique~Tuque «Board»~Tricot côtelé,"Page # 121,149 of catalogue~Page # 5,41 of supplement","Page # 121,149 du catalogue~Page # 5,41 du suppl&eacute;ment",,SN,Sand,Sable,$5.50 ,$5.40 ,$5.20 ,http://www.ajmintl.com/product_style_info.aspx?mystylecode=0030M&mycolorimg=0030M-SN.jpg,N/A,Acrylic~Board Toque,Acrylique~Tuque «Board»
0030M,Acrylic~Board Toque~Rib knit,Acrylique~Tuque «Board»~Tricot côtelé,"Page # 121,149 of catalogue~Page # 5,41 of supplement","Page # 121,149 du catalogue~Page # 5,41 du suppl&eacute;ment",,WH,White,Blanc,$5.50 ,$5.40 ,$5.20 ,http://www.ajmintl.com/product_style_info.aspx?mystylecode=0030M&mycolorimg=0030M-WH.jpg,N/A,Acrylic~Board Toque,Acrylique~Tuque «Board»
0031M,Acrylic~Board Toque~Rib knit,Acrylique~Tuque «Board»~Tricot côtelé,Page # 151 of catalogue~Page # 7 of supplement,Page # 151 du catalogue~Page # 7 du suppl&eacute;ment,8,BL/RD,Black/Red,Noir/Rouge,$6.30 ,$6.20 ,$6.00 ,http://www.ajmintl.com/product_style_info.aspx?mystylecode=0031M&mycolorimg=0031M-BL_RD.jpg,N/A,Acrylic~Board Toque,Acrylique~Tuque «Board»
0031M,Acrylic~Board Toque~Rib knit,Acrylique~Tuque «Board»~Tricot côtelé,Page # 151 of catalogue~Page # 7 of supplement,Page # 151 du catalogue~Page # 7 du suppl&eacute;ment,,BL/SL,Black/Slate,Noir/Gris ardoise,$6.30 ,$6.20 ,$6.00 ,http://www.ajmintl.com/product_style_info.aspx?mystylecode=0031M&mycolorimg=0031M-BL_SL.jpg,N/A,Acrylic~Board Toque,Acrylique~Tuque «Board»
0031M,Acrylic~Board Toque~Rib knit,Acrylique~Tuque «Board»~Tricot côtelé,Page # 151 of catalogue~Page # 7 of supplement,Page # 151 du catalogue~Page # 7 du suppl&eacute;ment,,NV/SL,Navy/Slate,Bleu marine/Gris ardoise,$6.30 ,$6.20 ,$6.00 ,http://www.ajmintl.com/product_style_info.aspx?mystylecode=0031M&mycolorimg=0031M-NV_SL.jpg,N/A,Acrylic~Board Toque,Acrylique~Tuque «Board»
0031M,Acrylic~Board Toque~Rib knit,Acrylique~Tuque «Board»~Tricot côtelé,Page # 151 of catalogue~Page # 7 of supplement,Page # 151 du catalogue~Page # 7 du suppl&eacute;ment,,RD/BL,Red/Black,Rouge/Noir,$6.30 ,$6.20 ,$6.00 ,http://www.ajmintl.com/product_style_info.aspx?mystylecode=0031M&mycolorimg=0031M-RD_BL.jpg,N/A,Acrylic~Board Toque,Acrylique~Tuque «Board»
