STYLE,BRAND,DESCRIPTION,GROUP,SIZE,NET
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,COLORS,S-XL, $	2.72
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,COLORS,2XL, $	4.49
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,COLORS,3XL, $	4.49
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,COLORS,4XL, $	4.49
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,COLORS,5XL, $	5.40
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,HEATHERS,S-XL, $	2.31
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,HEATHERS,2XL, $	3.93
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,HEATHERS,3XL, $	3.93
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,HEATHERS,4XL, $	3.93
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,HEATHERS,5XL, $	5.06
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,NEUTRALS,S-XL, $	1.87
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,NEUTRALS,2XL, $	3.21
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,NEUTRALS,3XL, $	3.21
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,NEUTRALS,4XL, $	3.21
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,NEUTRALS,5XL, $	4.21
562,Jerzees, 13.3 oz./lin. yd. 50/50 NuBlend® Fleece Crew,COLORS,S-XL, $	7.18
562,Jerzees, 13.3 oz./lin. yd. 50/50 NuBlend® Fleece Crew,COLORS,2XL, $	8.76
562,Jerzees, 13.3 oz./lin. yd. 50/50 NuBlend® Fleece Crew,COLORS,3XL, $	8.76
562,Jerzees, 13.3 oz./lin. yd. 50/50 NuBlend® Fleece Crew,COLORS,4XL, $	10.92
562,Jerzees, 13.3 oz./lin. yd. 50/50 NuBlend® Fleece Crew,HEATHERS,S-XL, $	6.82
562,Jerzees, 13.3 oz./lin. yd. 50/50 NuBlend® Fleece Crew,HEATHERS,2XL, $	8.30
562,Jerzees, 13.3 oz./lin. yd. 50/50 NuBlend® Fleece Crew,HEATHERS,3XL, $	8.76
562,Jerzees, 13.3 oz./lin. yd. 50/50 NuBlend® Fleece Crew,HEATHERS,4XL, $	10.65
574,WILLIAM-DICKIE MFG CO,Men's 5.25 oz./lin. yd. Long-Sleeve Work Shirt,ALL,S-XL, $	25.58
574,WILLIAM-DICKIE MFG CO,Men's 5.25 oz./lin. yd. Long-Sleeve Work Shirt,ALL,2XL, $	25.58
810,COLOR IMAGE APPAREL - BELLA,Ladies' Cotton/Spandex Fitness Pant,ALL,S-XL, $	24.72
810,COLOR IMAGE APPAREL - BELLA,Ladies' Cotton/Spandex Fitness Pant,ALL,2XL, $	29.01
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,COLORS,S-XL, $	10.83
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,COLORS,2XL, $	13.93
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,COLORS,3XL, $	13.93
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,COLORS,4XL, $	15.84
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,HEATHERS,S-XL, $	10.53
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,HEATHERS,2XL, $	13.31
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,HEATHERS,3XL, $	13.31
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,HEATHERS,4XL, $	15.32
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,NEUTRALS,S-XL, $	9.99
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,NEUTRALS,2XL, $	12.79
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,NEUTRALS,3XL, $	12.79
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,NEUTRALS,4XL, $	14.77
1001,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Short-Sleeve T-Shirt,COLORS,S-XL, $	7.70
1001,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Short-Sleeve T-Shirt,COLORS,2XL, $	9.85
1001,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Short-Sleeve T-Shirt,WHITE,S-XL, $	6.24
1001,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Short-Sleeve T-Shirt,WHITE,2XL, $	8.39
1003,RABBIT SKINS,Infant Terry Snap Bib,ALL,ONE SIZE, $	2.65
1005,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Short-Sleeve V-Neck T-Shirt,COLORS,S-XL, $	9.14
1005,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Short-Sleeve V-Neck T-Shirt,COLORS,2XL, $	11.29
1005,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Short-Sleeve V-Neck T-Shirt,WHITE,S-XL, $	7.70
1005,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Short-Sleeve V-Neck T-Shirt,WHITE,2XL, $	9.85
1080,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Tank,COLORS,S-XL, $	7.98
1080,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Tank,COLORS,2XL, $	10.13
1080,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Tank,WHITE,S-XL, $	6.82
1080,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Tank,WHITE,2XL, $	8.97
1513,GEMLINE, Prelude Convention Tote,ALL,ONE SIZE, $	2.98
1540,GEMLINE, Encore Convention Tote,ALL,ONE SIZE, $	2.98
1574,WILLIAM-DICKIE MFG CO,Men's 5.25 oz./lin. yd. Short-Sleeve Work Shirt,ALL,S-XL, $	21.73
1574,WILLIAM-DICKIE MFG CO,Men's 5.25 oz./lin. yd. Short-Sleeve Work Shirt,ALL,2XL, $	21.73
1574,WILLIAM-DICKIE MFG CO,Men's 5.25 oz./lin. yd. Short-Sleeve Work Shirt,ALL,3XL, $	23.89
2001,American Apparel,Unisex Fine Jersey Short-Sleeve T-Shirt,COLORS,XS-XL, $	6.74
2001,American Apparel,Unisex Fine Jersey Short-Sleeve T-Shirt,COLORS,2XL, $	8.24
