STYLE,BRAND,DESCRIPTION,GROUP,SIZE,RETAIL,
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,COLORS,S-XL, $	5.44 ,
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,COLORS,2XL, $	8.98 ,
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,COLORS,3XL, $	8.98 ,
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,COLORS,4XL, $	8.98 ,
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,COLORS,5XL, $	10.80 ,
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,HEATHERS,S-XL, $	4.62 ,
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,HEATHERS,2XL, $	7.86 ,
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,HEATHERS,3XL, $	7.86 ,
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,HEATHERS,4XL, $	7.86 ,
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,HEATHERS,5XL, $	10.12 ,
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,NEUTRALS,S-XL, $	3.74 ,
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,NEUTRALS,2XL, $	6.42 ,
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,NEUTRALS,3XL, $	6.42 ,
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,NEUTRALS,4XL, $	6.42 ,
363,Jerzees, 8.3 oz./lin. yd. HiDENSI-T® T-Shirt,NEUTRALS,5XL, $	8.42 ,
562,Jerzees, 13.3 oz./lin. yd. 50/50 NuBlend® Fleece Crew,COLORS,S-XL, $	14.36 ,
562,Jerzees, 13.3 oz./lin. yd. 50/50 NuBlend® Fleece Crew,COLORS,2XL, $	17.52 ,
562,Jerzees, 13.3 oz./lin. yd. 50/50 NuBlend® Fleece Crew,COLORS,3XL, $	17.52 ,
562,Jerzees, 13.3 oz./lin. yd. 50/50 NuBlend® Fleece Crew,COLORS,4XL, $	21.84 ,
562,Jerzees, 13.3 oz./lin. yd. 50/50 NuBlend® Fleece Crew,HEATHERS,S-XL, $	13.64 ,
562,Jerzees, 13.3 oz./lin. yd. 50/50 NuBlend® Fleece Crew,HEATHERS,2XL, $	16.60 ,
562,Jerzees, 13.3 oz./lin. yd. 50/50 NuBlend® Fleece Crew,HEATHERS,3XL, $	17.52 ,
562,Jerzees, 13.3 oz./lin. yd. 50/50 NuBlend® Fleece Crew,HEATHERS,4XL, $	21.30 ,
574,WILLIAM-DICKIE MFG CO,Men's 5.25 oz./lin. yd. Long-Sleeve Work Shirt,ALL,S-XL, $	51.16 ,
574,WILLIAM-DICKIE MFG CO,Men's 5.25 oz./lin. yd. Long-Sleeve Work Shirt,ALL,2XL, $	51.16 ,
810,COLOR IMAGE APPAREL - BELLA,Ladies' Cotton/Spandex Fitness Pant,ALL,S-XL, $	49.44 ,
810,COLOR IMAGE APPAREL - BELLA,Ladies' Cotton/Spandex Fitness Pant,ALL,2XL, $	58.02 ,
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,COLORS,S-XL, $	21.66 ,
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,COLORS,2XL, $	27.86 ,
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,COLORS,3XL, $	27.86 ,
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,COLORS,4XL, $	31.68 ,
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,HEATHERS,S-XL, $	21.06 ,
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,HEATHERS,2XL, $	26.62 ,
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,HEATHERS,3XL, $	26.62 ,
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,HEATHERS,4XL, $	30.64 ,
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,NEUTRALS,S-XL, $	19.98 ,
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,NEUTRALS,2XL, $	25.58 ,
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,NEUTRALS,3XL, $	25.58 ,
996,Jerzees, 13.3 oz./lin. yd. 50/50  NuBlend® Fleece Pullover Hood,NEUTRALS,4XL, $	29.54 ,
1001,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Short-Sleeve T-Shirt,COLORS,S-XL, $	15.40 ,
1001,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Short-Sleeve T-Shirt,COLORS,2XL, $	19.70 ,
1001,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Short-Sleeve T-Shirt,WHITE,S-XL, $	12.48 ,
1001,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Short-Sleeve T-Shirt,WHITE,2XL, $	16.78 ,
1003,RABBIT SKINS,Infant Terry Snap Bib,ALL,ONE SIZE, $	5.30 ,
1005,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Short-Sleeve V-Neck T-Shirt,COLORS,S-XL, $	18.28 ,
1005,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Short-Sleeve V-Neck T-Shirt,COLORS,2XL, $	22.58 ,
1005,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Short-Sleeve V-Neck T-Shirt,WHITE,S-XL, $	15.40 ,
1005,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Short-Sleeve V-Neck T-Shirt,WHITE,2XL, $	19.70 ,
1080,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Tank,COLORS,S-XL, $	15.96 ,
1080,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Tank,COLORS,2XL, $	20.26 ,
1080,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Tank,WHITE,S-XL, $	13.64 ,
1080,COLOR IMAGE APPAREL - BELLA,Ladies' Stretch Rib Tank,WHITE,2XL, $	17.94 ,
1513,GEMLINE, Prelude Convention Tote,ALL,ONE SIZE, $	5.96 ,
1540,GEMLINE, Encore Convention Tote,ALL,ONE SIZE, $	5.96 ,
1574,WILLIAM-DICKIE MFG CO,Men's 5.25 oz./lin. yd. Short-Sleeve Work Shirt,ALL,S-XL, $	43.46 ,
1574,WILLIAM-DICKIE MFG CO,Men's 5.25 oz./lin. yd. Short-Sleeve Work Shirt,ALL,2XL, $	43.46 ,
1574,WILLIAM-DICKIE MFG CO,Men's 5.25 oz./lin. yd. Short-Sleeve Work Shirt,ALL,3XL, $	47.78 ,
2001,American Apparel,Unisex Fine Jersey Short-Sleeve T-Shirt,COLORS,XS-XL, $	13.48 ,
2001,American Apparel,Unisex Fine Jersey Short-Sleeve T-Shirt,COLORS,2XL, $	16.48 ,
2001,American Apparel,Unisex Fine Jersey Short-Sleeve T-Shirt,COLORS,3XL, $	20.22 ,
2001,American Apparel,Unisex Fine Jersey Short-Sleeve T-Shirt,NEUTRALS,XS-XL, $	11.46 ,
2001,American Apparel,Unisex Fine Jersey Short-Sleeve T-Shirt,NEUTRALS,2XL, $	14.48 ,
2001,American Apparel,Unisex Fine Jersey Short-Sleeve T-Shirt,NEUTRALS,3XL, $	18.24 ,
2007,American Apparel,Unisex Fine Jersey Long-Sleeve T-Shirt,COLORS,S-XL, $	17.46 ,
2007,American Apparel,Unisex Fine Jersey Long-Sleeve T-Shirt,COLORS,2XL, $	20.46 ,
2007,American Apparel,Unisex Fine Jersey Long-Sleeve T-Shirt,NEUTRALS,S-XL, $	15.48 ,
2007,American Apparel,Unisex Fine Jersey Long-Sleeve T-Shirt,NEUTRALS,2XL, $	18.46 ,
2102,American Apparel,Ladies' Fine Jersey Short-Sleeve T-Shirt,COLORS,XS-XL, $	13.48 ,
2102,American Apparel,Ladies' Fine Jersey Short-Sleeve T-Shirt,COLORS,2XL, $	16.48 ,
2102,American Apparel,Ladies' Fine Jersey Short-Sleeve T-Shirt,NEUTRALS,XS-XL, $	11.46 ,
2102,American Apparel,Ladies' Fine Jersey Short-Sleeve T-Shirt,NEUTRALS,2XL, $	14.48 ,
2105,American Apparel,Toddler Fine Jersey Short-Sleeve T-Shirt,COLORS,2T-5T/6T, $	12.36 ,
2105,American Apparel,Toddler Fine Jersey Short-Sleeve T-Shirt,NEUTRALS,2T-5T/6T, $	10.36 ,
2201,American Apparel,Youth Fine Jersey Short-Sleeve T-Shirt,COLORS,YOUTH S-L, $	12.48 ,
2201,American Apparel,Youth Fine Jersey Short-Sleeve T-Shirt,NEUTRALS,YOUTH S-L, $	10.62 ,
2206,CODE V,Youth Camouflage T-Shirt,ALL,YOUTH XS-L, $	17.72 ,
2406,American Apparel,Unisex Fine Jersey Pocket Short-Sleeve T-Shirt,COLORS,S-XL, $	15.48 ,
2406,American Apparel,Unisex Fine Jersey Pocket Short-Sleeve T-Shirt,NEUTRALS,S-XL, $	13.62 ,
2408,American Apparel,Unisex Fine Jersey Tank,COLORS,XS-XL, $	12.86 ,
2408,American Apparel,Unisex Fine Jersey Tank,COLORS,2XL, $	15.86 ,
2408,American Apparel,Unisex Fine Jersey Tank,NEUTRALS,XS-XL, $	10.88 ,
2408,American Apparel,Unisex Fine Jersey Tank,NEUTRALS,2XL, $	13.86 ,
2456,American Apparel,Unisex Fine Jersey Short-Sleeve V-Neck,COLORS,XXS-XL, $	15.12 ,
2456,American Apparel,Unisex Fine Jersey Short-Sleeve V-Neck,COLORS,2XL, $	18.10 ,
2456,American Apparel,Unisex Fine Jersey Short-Sleeve V-Neck,NEUTRALS,XXS-XL, $	13.10 ,
2456,American Apparel,Unisex Fine Jersey Short-Sleeve V-Neck,NEUTRALS,2XL, $	16.12 ,
3005,CANVAS,Unisex Jersey Short-Sleeve V-Neck T-Shirt,COLORS,XS-XL, $	18.88 ,
3005,CANVAS,Unisex Jersey Short-Sleeve V-Neck T-Shirt,COLORS,2XL, $	24.46 ,
3005,CANVAS,Unisex Jersey Short-Sleeve V-Neck T-Shirt,MARBLES,XS-XL, $	23.26 ,
3005,CANVAS,Unisex Jersey Short-Sleeve V-Neck T-Shirt,MARBLES,2XL, $	28.84 ,
3005,CANVAS,Unisex Jersey Short-Sleeve V-Neck T-Shirt,WHITE,XS-XL, $	16.52 ,
3005,CANVAS,Unisex Jersey Short-Sleeve V-Neck T-Shirt,WHITE,2XL, $	22.10 ,
3200,CANVAS,Unisex 3/4-Sleeve Baseball T-Shirt,COLORS,XS-XL, $	23.26 ,
3200,CANVAS,Unisex 3/4-Sleeve Baseball T-Shirt,COLORS,2XL, $	28.84 ,
3200,CANVAS,Unisex 3/4-Sleeve Baseball T-Shirt,TRIBLENDS,XS-XL, $	31.96 ,
3200,CANVAS,Unisex 3/4-Sleeve Baseball T-Shirt,TRIBLENDS,2XL, $	37.54 ,
3200,CANVAS,Unisex 3/4-Sleeve Baseball T-Shirt,WHITE,XS-XL, $	23.22 ,
3200,CANVAS,Unisex 3/4-Sleeve Baseball T-Shirt,WHITE,2XL, $	28.80 ,
3311,RABBIT SKINS,Toddler 9.17 oz./lin. yd. Jersey Long-Sleeve T-Shirt,COLORS,2T-5T/6T, $	9.06 ,
3311,RABBIT SKINS,Toddler 9.17 oz./lin. yd. Jersey Long-Sleeve T-Shirt,NEUTRALS,2T-5T/6T, $	7.90 ,
3326,RABBIT SKINS,Toddler 12.5 oz./lin. yd. Fleece Pullover Hood,ALL,2T-5T/6T, $	17.42 ,
3401,RABBIT SKINS,Infant 9.17 oz./lin. yd. Short-Sleeve Jersey T-Shirt,HEATHERS,6MOS-24MOS, $	5.62 ,
3401,RABBIT SKINS,Infant 9.17 oz./lin. yd. Short-Sleeve Jersey T-Shirt,COLORS,6MOS-24MOS, $	6.28 ,
3401,RABBIT SKINS,Infant 9.17 oz./lin. yd. Short-Sleeve Jersey T-Shirt,NEUTRALS,6MOS-24MOS, $	4.86 ,
3408,American Apparel,Unisex Rib Tank Top,COLORS,S-XL, $	15.74 ,
3408,American Apparel,Unisex Rib Tank Top,NEUTRALS,S-XL, $	14.22 ,
3480,CANVAS,Unisex Jersey Tank,COLORS,XS-XL, $	16.22 ,
3480,CANVAS,Unisex Jersey Tank,COLORS,2XL, $	20.52 ,
3480,CANVAS,Unisex Jersey Tank,TRIBLENDS,XS-XL, $	18.28 ,
3480,CANVAS,Unisex Jersey Tank,TRIBLENDS,2XL, $	22.58 ,
3480,CANVAS,Unisex Jersey Tank,NEON,XS-XL, $	16.52 ,
3480,CANVAS,Unisex Jersey Tank,NEON,2XL, $	20.82 ,
3480,CANVAS,Unisex Jersey Tank,WHITE,XS-XL, $	13.34 ,
3480,CANVAS,Unisex Jersey Tank,WHITE,2XL, $	17.64 ,
3500,CANVAS,Men's Thermal Long-Sleeve T-Shirt,ALL,S-XL, $	34.46 ,
3500,CANVAS,Men's Thermal Long-Sleeve T-Shirt,ALL,2XL, $	43.04 ,
3501,CANVAS,Men's Jersey Long-Sleeve T-Shirt,COLORS,S-XL, $	21.80 ,
3501,CANVAS,Men's Jersey Long-Sleeve T-Shirt,COLORS,2XL, $	27.38 ,
3501,CANVAS,Men's Jersey Long-Sleeve T-Shirt,TRIBLENDS,S-XL, $	25.02 ,
3501,CANVAS,Men's Jersey Long-Sleeve T-Shirt,TRIBLENDS,2XL, $	30.16 ,
3501,CANVAS,Men's Jersey Long-Sleeve T-Shirt,WHITE,S-XL, $	20.34 ,
3501,CANVAS,Men's Jersey Long-Sleeve T-Shirt,WHITE,2XL, $	25.92 ,
3512,CANVAS,Unisex Jersey Long-Sleeve Hoodie,COLORS,XS-XL, $	37.76 ,
3512,CANVAS,Unisex Jersey Long-Sleeve Hoodie,COLORS,2XL, $	46.34 ,
3512,CANVAS,Unisex Jersey Long-Sleeve Hoodie,WHITE,XS-XL, $	37.76 ,
3512,CANVAS,Unisex Jersey Long-Sleeve Hoodie,WHITE,2XL, $	46.34 ,
3650,CANVAS,Unisex Poly-Cotton Short-Sleeve T-Shirt,COLORS,XS-XL, $	16.82 ,
3650,CANVAS,Unisex Poly-Cotton Short-Sleeve T-Shirt,COLORS,2XL, $	22.40 ,
3650,CANVAS,Unisex Poly-Cotton Short-Sleeve T-Shirt,NEON,XS-XL, $	18.28 ,
3650,CANVAS,Unisex Poly-Cotton Short-Sleeve T-Shirt,NEON,2XL, $	23.86 ,
3650,CANVAS,Unisex Poly-Cotton Short-Sleeve T-Shirt,WHITE,XS-XL, $	15.06 ,
3650,CANVAS,Unisex Poly-Cotton Short-Sleeve T-Shirt,WHITE,2XL, $	20.64 ,
3665,CODE V,Ladies' Fine Jersey Camouflage T-Shirt,ALL,S-XL, $	24.58 ,
3665,CODE V,Ladies' Fine Jersey Camouflage T-Shirt,ALL,2XL, $	27.80 ,
3719,BELLA + CANVAS,Unisex Poly-Cotton Fleece Pullover Hoodie,COLORS,XS-XL, $	51.02 ,
3719,BELLA + CANVAS,Unisex Poly-Cotton Fleece Pullover Hoodie,COLORS,2XL, $	59.60 ,
3739,CANVAS,Unisex Poly-Cotton Fleece Full-Zip Hoodie,COLORS,XS-XL, $	58.10 ,
3739,CANVAS,Unisex Poly-Cotton Fleece Full-Zip Hoodie,COLORS,2XL, $	66.68 ,
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,COLORS,S-XL, $	5.56 ,
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,COLORS,2XL, $	8.98 ,
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,COLORS,3XL, $	8.98 ,
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,COLORS,4XL, $	8.98 ,
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,COLORS,5XL, $	10.12 ,
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,COLORS,6XL, $	13.94 ,
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,HEATHERS,S-XL, $	4.66 ,
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,HEATHERS,2XL, $	7.86 ,
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,HEATHERS,3XL, $	7.86 ,
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,HEATHERS,4XL, $	7.86 ,
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,HEATHERS,5XL, $	10.12 ,
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,HEATHERS,6XL, $	12.00 ,
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,NEUTRALS,S-XL, $	3.80 ,
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,NEUTRALS,2XL, $	6.42 ,
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,NEUTRALS,3XL, $	6.42 ,
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,NEUTRALS,4XL, $	6.42 ,
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,NEUTRALS,5XL, $	8.42 ,
3931,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® T-Shirt,NEUTRALS,6XL, $	10.40 ,
3939,CANVAS,Unisex Triblend Full-Zip Lightweight Hoodie,TRIBLENDS,XS-XL, $	58.18 ,
3939,CANVAS,Unisex Triblend Full-Zip Lightweight Hoodie,TRIBLENDS,2XL, $	66.76 ,
3969,CODE V, Camouflage Pullover Hooded Sweatshirt,ALL,S-XL, $	55.80 ,
3969,CODE V, Camouflage Pullover Hooded Sweatshirt,ALL,2XL, $	58.40 ,
3980,CODE V, Officially Licensed REALTREE® Camouflage Short-Sleeve T-Shirt,ALL,S-XL, $	30.94 ,
3980,CODE V, Officially Licensed REALTREE® Camouflage Short-Sleeve T-Shirt,ALL,2XL, $	35.00 ,
3981,CODE V, Officially Licensed REALTREE® Camouflage Long-Sleeve T-Shirt,ALL,S-XL, $	37.14 ,
3981,CODE V, Officially Licensed REALTREE® Camouflage Long-Sleeve T-Shirt,ALL,2XL, $	43.56 ,
4030,GEMLINE, Vertex Tech Duffel,ALL,ONE SIZE, $	50.78 ,
4400,RABBIT SKINS,Infant 8.34 oz./lin. yd. Baby Rib Lap Shoulder Bodysuit,COLORS,NB-24MOS, $	8.26 ,
4400,RABBIT SKINS,Infant 8.34 oz./lin. yd. Baby Rib Lap Shoulder Bodysuit,LIGHTS,NB-24MOS, $	6.70 ,
4400,RABBIT SKINS,Infant 8.34 oz./lin. yd. Baby Rib Lap Shoulder Bodysuit,NEUTRALS,NB-24MOS, $	6.28 ,
4520,GEMLINE, Echo Sport Bag,ALL,ONE SIZE, $	23.88 ,
4560,GEMLINE, Squad Sport Bag,ALL,ONE SIZE, $	44.90 ,
4930,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® Long-Sleeve T-Shirt,COLORS,S-XL, $	8.34 ,
4930,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® Long-Sleeve T-Shirt,COLORS,2XL, $	12.24 ,
4930,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® Long-Sleeve T-Shirt,COLORS,3XL, $	12.24 ,
4930,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® Long-Sleeve T-Shirt,HEATHERS,S-XL, $	7.66 ,
4930,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® Long-Sleeve T-Shirt,HEATHERS,2XL, $	11.06 ,
4930,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® Long-Sleeve T-Shirt,HEATHERS,3XL, $	11.06 ,
4930,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® Long-Sleeve T-Shirt,NEUTRALS,S-XL, $	6.58 ,
4930,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® Long-Sleeve T-Shirt,NEUTRALS,2XL, $	10.08 ,
4930,Fruit of the Loom, 8.3 oz./lin. yd. 100% Heavy Cotton HD® Long-Sleeve T-Shirt,NEUTRALS,3XL, $	10.08 ,
4997,Jerzees, 15.9 oz./lin. yd. 50/50 Super Sweats® NuBlend® Fleece Pullover Hood,COLORS,S-XL, $	30.16 ,
4997,Jerzees, 15.9 oz./lin. yd. 50/50 Super Sweats® NuBlend® Fleece Pullover Hood,COLORS,2XL, $	35.74 ,
4997,Jerzees, 15.9 oz./lin. yd. 50/50 Super Sweats® NuBlend® Fleece Pullover Hood,COLORS,3XL, $	35.74 ,
4997,Jerzees, 15.9 oz./lin. yd. 50/50 Super Sweats® NuBlend® Fleece Pullover Hood,COLORS,4XL, $	37.16 ,
4997,Jerzees, 15.9 oz./lin. yd. 50/50 Super Sweats® NuBlend® Fleece Pullover Hood,HEATHERS,S-XL, $	29.74 ,
4997,Jerzees, 15.9 oz./lin. yd. 50/50 Super Sweats® NuBlend® Fleece Pullover Hood,HEATHERS,2XL, $	35.12 ,
4997,Jerzees, 15.9 oz./lin. yd. 50/50 Super Sweats® NuBlend® Fleece Pullover Hood,HEATHERS,3XL, $	35.12 ,
