Option #,Option Description
1,Extra Fancy Jumbo Cashews
2,Milk Chocolate Covered Almonds
3,Choice Virginia Peanuts
4,Cocoa Dusted Truffles
5,Jelly Belly¨ Jelly Beans
6,English Butter Toffee
7,Pecan Turtles
8,Deluxe Mixed Nuts
9,Gourmet Brownies
10,Gourmet Cookies
11,Dark Chocolate Covered Almonds
12,
13,
14,
15,
16,
17,
18,
19,
20,Chocolate Covered Almonds & Extra Fancy Jumbo Cashews
21,English Butter Toffee & Pecan Turtles
22,Chocolate Sea Salt Caramels & Cocoa Dusted Truffles
23,Chocolate Covered Almonds & Deluxe Mixed Nuts
24,Cocoa Dusted Truffles & Chocolate Covered Almonds
25,Peppermint Bark & Chocolate Covered Almonds
26,Chocolate Sea Salt Caramels & Pecan Turtles
27,Deluxe Mixed Nuts & BBQ Smoked Almonds
28,Two-Dozen Cookies & Brownies
29,Three-Dozen Cookies & Brownies
30,Milk & Dark Chocolate Almonds
31,Peanut Butter Meltaways & Peppermint Bark
32,
33,
34,
35,
36,
37,
38,
39,
40,Milk Chocolate
41,Dark Chocolate
42,White Chocolate
43,Chocolate Chunk Cookie
44,White Chocolate Macadamia Cookie
45,Snickerdoodle
46,Chocolate Butterscotch Coconut Brownie
47,Double Chocolate Brownie
48,Chocolate Pecan Brownie
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,Navy
61,Red
62,Ivory
63,Copper
64,Silver
65,Blue
66,Black
67,Burgundy & Gold
68,Black & Gold
69,Navy & Gold
70,Gold Striped
71,Navy Snowflake
72,Silver & Navy
73,Red & White
74,Black & Silver
75,Brown & White
76,Navy & White
77,Gold & Navy
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,Blue Ribbon
91,Red Ribbon
92,Sheer Burgundy Ribbon
93,Black Ribbon
94,Ivory Ribbon
