MRF Item #,Default Item #,New,Main Category,Subcategory 1,Options,Item Name,Price Category,Min Qty,Min -47,48-95,96-239,240-479,480-959,300-599,600-2399,Mfg Code,Setup Charge Applies,Web Copy,Sales Flyer Copy,Ingredient Box (List of Ingredients),Kosher,Made in America,Units/Case,Ship Weight Each,Weight per Case,Dimensional Weight Applies,Description,Product Dimensions L,Product Dimensions W,Product Dimensions H,Additional Description,Addt'l Dimensions L,Addt'l Dimensions W,Addt'l Dimensions H,Imprint Details,Imprint Dimensions L,Imprint Dimensions W,Packaging,Individual Mailing Carton,Extra Bullets,Production Time,Default Inventory Quantity,Virtual Link,Hero Image Filename,Full-Size Filename,Thumbnail Filename,,,,,,,,,,,,,,,,,,,,,,,,,
BB739,,,5,,,Smoked Turkey Breast,7,6,79.95,78.95,,,,,,2E,X,"Enjoy smoked turkey at its finest! You get much more of the moist, tender, all white breast meat than you would from a whole turkey and you don't need to deal with all those bones as we leave in only the breast bone to enhance the flavor. Each turkey breast is slowly smoked over hardwood embers for a full 24 hours, and weighs four to five and a half pounds. Enjoy hot or cold. Absolutely delicious! Serves 6-8 people and comes with a sturdy Bamboo cutting board firebranded with your logo.","Enjoy smoked turkey at its finest! You get much more of the moist, tender, all white breast meat than you would from a whole turkey and you don't need to deal with all those bones as we leave in only the breast bone to enhance the flavor. Each turkey breast is slowly smoked over hardwood embers for a full 24 hours, and weighs four to five and a half pounds. Enjoy hot or cold. Absolutely delicious! Serves 6-8 people and comes with a sturdy Bamboo cutting board firebranded with your logo.",,,,4,8,32,,Cutting Board,12,8,0.75,,,,,Price includes firebranded imprint on board.,3,1.5,Price includes styrofoam insulated shipping carton.,,"Not available for foreign shipment. If Canadian shipment is requested, factory will substitute an appropriate item.
IMPORTANT! Please note: from November 28 through February 27, we ship by UPS Ground to most locations unless in hand date requires expedited service; however AK & HI require 2 Day Service; FL & CA require 3 Day Service. During the balance of the year, Air Shipment will be required to most locations outside of the Midwest, please contact factory for details.",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,BB739_HERO.jpg,BB739_WEB.jpg,BB739_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
BB744,,,5,,,Spiral-Sliced Half Ham with Bamboo Cutting Board,7,6,99.95,98.95,,,,,,2E,X,"These hams are cured in a special blend of herbs and spices, then slowly smoked over hardwood embers for a full 24 hours, giving them a rare, mouth-watering flavor. Spiral-slicing right to the bone allows each slice to lift away easily (they'll love you for making it so simple), and when the lucky recipient takes the first bite, your gift will be recognized for its outstanding quality. Each ham is shipped with an eco-friendly Bamboo cutting board with your imprint.  Half hams weigh 6-8 lbs.","These hams are cured in a special blend of herbs and spices, then slowly smoked over hardwood embers for a full 24 hours, giving them a rare, mouth-watering flavor. Spiral-slicing right to the bone allows each slice to lift away easily (they'll love you for making it so simple), and when the lucky recipient takes the first bite, your gift will be recognized for its outstanding quality. Each ham is shipped with an eco-friendly Bamboo cutting board with your imprint.  Half hams weigh 6-8 lbs.",,,,4,12,47,,Cutting Board,12,8,0.75,,,,,Price includes firebranded imprint on board.,3,1.5,Price includes styrofoam insulated shipping carton.,,"Not available for foreign shipment. If Canadian shipment is requested, factory will substitute an appropriate item.
IMPORTANT! Please note: from November 28 through February 27, we ship by UPS Ground to most locations unless in hand date requires expedited service; however AK & HI require 2 Day Service; FL & CA require 3 Day Service. During the balance of the year, Air Shipment will be required to most locations outside of the Midwest, please contact factory for details.",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,BB744_HERO.jpg,BB744_WEB.jpg,BB744_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
BB745,,,5,,,Spiral-Sliced Whole Ham with Bamboo Cutting Board,8,6,159.95,157.95,,,,,,2E,X,"These hams are cured in a special blend of herbs and spices, then slowly smoked over hardwood embers for a full 24 hours, giving them a rare, mouth-watering flavor. Spiral-slicing right to the bone allows each slice to lift away easily (they'll love you for making it so simple), and when the lucky recipient takes the first bite, your gift will be recognized for its outstanding quality. Each ham is shipped with an eco-friendly Bamboo cutting board with your imprint.  Whole hams weigh 12-14 lbs.","These hams are cured in a special blend of herbs and spices, then slowly smoked over hardwood embers for a full 24 hours, giving them a rare, mouth-watering flavor. Spiral-slicing right to the bone allows each slice to lift away easily (they'll love you for making it so simple), and when the lucky recipient takes the first bite, your gift will be recognized for its outstanding quality. Each ham is shipped with an eco-friendly Bamboo cutting board with your imprint.  Whole hams weigh 12-14 lbs.",,,,2,19,38,,Cutting Board,12,8,0.75,,,,,Price includes firebranded imprint on board.,3,1.5,Price includes styrofoam insulated shipping carton.,,"Not available for foreign shipment. If Canadian shipment is requested, factory will substitute an appropriate item.
IMPORTANT! Please note: from November 28 through February 27, we ship by UPS Ground to most locations unless in hand date requires expedited service; however AK & HI require 2 Day Service; FL & CA require 3 Day Service. During the balance of the year, Air Shipment will be required to most locations outside of the Midwest, please contact factory for details.",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,BB745_HERO.jpg,BB745_WEB.jpg,BB745_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
BB752,,,5,,,Honey Cured Spiral-Sliced Boneless Ham,7,6,79.95,78.95,,,,,,2E,X,"You can taste the rich, hickory smoked flavor in every slice of this superb three to four pound ham. It's accented by a honey cure that gives it a mild, sweet flavor. Fully cooked, ready-to-eat, low in salt and completely boneless... it's spiral-sliced the way ham should be! Your guests will be impressed and if you end up with leftovers... don't worry. Your future holds some of the best ham sandwiches you've ever tasted. Serve at room temperature or gently warm in the oven. Each ham comes with a sturdy Bamboo cutting board. The cutting board, firebranded with your logo, will be a year-long reminder of this delicious gift. Serves 6-8.","You can taste the rich, hickory smoked flavor in every slice of this superb three to four pound ham. It's accented by a honey cure that gives it a mild, sweet flavor. Fully cooked, ready-to-eat, low in salt and completely boneless... it's spiral-sliced the way ham should be! Your guests will be impressed and if you end up with leftovers... don't worry. Your future holds some of the best ham sandwiches you've ever tasted. Serve at room temperature or gently warm in the oven. Each ham comes with a sturdy Bamboo cutting board. The cutting board, firebranded with your logo, will be a year-long reminder of this delicious gift. Serves 6-8.",,,,4,7,29,,Cutting Board,12,8,0.75,,,,,Price includes firebranded imprint on board.,3,1.5,Price includes styrofoam insulated shipping carton.,,"Not available for foreign shipment. If Canadian shipment is requested, factory will substitute an appropriate item.
IMPORTANT! Please note: from November 28 through February 27, we ship by UPS Ground to most locations unless in hand date requires expedited service; however AK & HI require 2 Day Service; FL & CA require 3 Day Service. During the balance of the year, Air Shipment will be required to most locations outside of the Midwest, please contact factory for details.",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,BB752_HERO.jpg,BB752_WEB.jpg,BB752_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
BG1537,,,10,,,Ultimate Office Party Tower,8,2,249.95,239.95,,,,,,2C,X,"Our largest tower ever! 22 gourmet treats packed into nine rich burgundy and gold gift boxes (yes, they are reusable). Serves 50 people or more! They'll know you've sent the biggest and the best from the moment it arrives. It's packed full with premium chocolates, fresh-roasted nuts, Wisconsin cheese and sausage, Ghirardelli© chocolate squares, and much more. When they receive this one, they'll know how much you care!","Our largest tower ever! 22 gourmet treats packed into nine rich burgundy and gold gift boxes (yes, they are reusable). Serves 50 people or more! They'll know you've sent the biggest and the best from the moment it arrives. It's packed full with premium chocolates, fresh-roasted nuts, Wisconsin cheese and sausage, Ghirardelli© chocolate squares, and much more. When they receive this one, they'll know how much you care!","Pecan Turtles, 6 oz. (12 pieces)
English Butter Toffee, 5 oz. (12 pieces)
Chocolate Covered Almonds, 5 oz.
Lindt-Lindor Chocolate Truffles, 4.8 oz.
Ghirardelli© Chocolate Squares, 4.63 oz.
Water Crackers, 2 oz.
Chocolate Sea Salt Caramels, 4.75 oz. (8 pieces)
Chocolate Covered Peanuts, 6 oz.
Chocolate Dipped Pretzels, 2.4 oz. (3 pieces)
Extra Fancy Jumbo Cashews, 5 oz.
Private Stock Pepper Cheese, 7 oz.
Chocolate Covered Raisins, 1/2 lb.
BBQ Smoked Almonds, 5 oz.
Savory Fruit & Nut Mix, 5 oz.
Raspberry Cookies, 1/4 lb.
Jumbo California Pistachios, 1/4 lb.
Beef Summer Sausage, 5 oz.
Almond Pecan Honey Corn, 3/4 lb.
Seasoned Pretzels, 1/4 lb.
Frosted Pretzels, 1/2 lb.
Peppermint Bark, 5 oz.
Cranberry & Walnut Mix, 5 oz.",,X,2,14,28,X,Tower,10.875,7.125,20,,,,,Price includes imprint foil-stamped in gold on sheer burgundy ribbon.,3,0.75,Individual mailing carton is included at no charge.,,,5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,BG1537_HERO.jpg,BG1537_WEB.jpg,BG1537_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
BG2910,GS2910,,10,,67,Tower of Favorites,6,12,56.95,56.65,55.95,,,,,3C,X,"Four gourmet favorites in one festive tower. We start with our signature English Butter Toffee, made with plenty of dairy-fresh butter, rich chocolate and California Almonds; then add a dozen scrumptious Pecan Turtles with creamy caramel centers and hand-picked Pecans, Extra Fancy Cashews that are freshly roasted and lightly salted; and finally, Gourmet Chocolate Sea Salt Caramel Corn. This Tower of Favorites is available in your choice of our Gold Striped boxes with burgundy ribbon and gold imprint, Burgundy & Gold boxes with burgundy ribbon and gold imprint, and Black & Silver boxes with black ribbon and silver imprint. Wow! What a treat! Serves 7-10.","Four gourmet favorites in one festive tower. We start with our signature English Butter Toffee, made with plenty of dairy-fresh butter, rich chocolate and California Almonds; then add a dozen scrumptious Pecan Turtles with creamy caramel centers and hand-picked Pecans, Extra Fancy Cashews that are freshly roasted and lightly salted; and finally, Gourmet Chocolate Sea Salt Caramel Corn. This Tower of Favorites is available in our Burgundy & Gold design with burgundy ribbon and gold imprint. Wow! What a treat! Serves 7-10.","English Butter Toffee, 5 oz. (12 pieces)
Pecan Turtles, 6 oz. (12 pieces)
Extra Fancy Jumbo Cashews, 5 oz.
Chocolate Sea Salt Caramel Corn, 5 oz.",,X,6,3,14,,Tower,7.375,3.875,6.75,,,,,Price includes imprint foil-stamped in gold on sheer burgundy ribbon.,3,0.75,Individual mailing carton is included at no charge.,,"Maximum size for enclosure cards: 6"" x 4"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,BG2910_HERO.jpg,BG2910_WEB.jpg,BG2910_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
BG3565,NSF3565,,10,,67,Tower of Sweets,6,8,74.95,74.65,73.95,,,,,3C,X,"""It's better to give than to receive,"" as the saying goes; but this tower is a great argument for the opposite! It's the perfect way to send your greetings, say ""Thank you"", or show your appreciation! This tower holds the most sumptuous treats one could ever desire. We start with our signature English Butter Toffee, Cocoa Dusted Truffles, Chocolate Covered Almonds, and Chocolate Sea Salt Caramels; then add Chocolate Sea Salt Caramel Corn and Jumbo Pretzels dipped in Chocolate – White, Milk, and Dark. A ribbon foil-stamped with your logo ties it all together. Serves 9-14.","""It's better to give than to receive,"" as the saying goes; but this tower is a great argument for the opposite! It's the perfect way to send your greetings, say ""Thank you"", or show your appreciation! This burgundy and gold tower holds the most sumptuous treats one could ever desire. We start with our signature English Butter Toffee, Cocoa Dusted Truffles, Chocolate Covered Almonds, and Chocolate Sea Salt Caramels; then add Chocolate Sea Salt Caramel Corn and Jumbo Pretzels dipped in Chocolate – White, Milk, and Dark. A sheer burgundy ribbon foil-stamped with your logo ties it all together. Serves 9-14.","Chocolate Covered Almonds, 5 oz.
Chocolate Sea Salt Caramels, 4.75 oz. (8 pieces)
English Butter Toffee, 5 oz. (12 pieces)
Chocolate Sea Salt Caramel Corn, 5 oz.
Cocoa Dusted Truffles, 3.5 oz. (11 pieces)
Chocolate Dipped Pretzels, 2.4 oz. (3 pieces)",,X,4,3,19,X,Tower,7.375,7.375,6.75,,,,,Price includes imprint foil-stamped in gold on sheer burgundy ribbon.,3,0.75,Individual mailing carton is included at no charge.,,"Maximum size for enclosure cards: 6"" x 4"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,BG3565_HERO.jpg,BG3565_WEB.jpg,BG3565_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
BNH102,BNH124,,7,5,1,Beech Post-it® Note Holder,3,24,24.95,24.65,24.35,24.35,23.95,,,4C,X,"If you're like me, you can never find a Post-it® note pad on your desk. I can have a half dozen one day, and the next day they're gone! Our Post-it® note holder crafted from American Beech is the solution. It keeps a note pad close at hand. We apply a hand-rubbed natural oil finish to bring out the natural beauty of the wood, then firebrand your logo on the holder. Of course, we include your choice of six-ounces of crunchy Virginia Peanuts, five-ounces of lightly-salted Extra Fancy Jumbo Cashews, or five-ounces of our famous Chocolate Covered Almonds.","If you're like me, you can never find a Post-it® note pad on your desk. I can have a half dozen one day, and the next day they're gone! Our Post-it® note holder crafted from American Beech is the solution. It keeps a note pad close at hand. We apply a hand-rubbed natural oil finish to bring out the natural beauty of the wood, then firebrand your logo on the holder. Of course, we include five-ounces of Extra Fancy Jumbo Cashews.",,X,X,12,1,13,,Note Holder,5,3,0.875,Gift Box,6.25,5.25,2.25,Price includes firebranded imprint.,2.5,1,Individual mailing carton is included at no charge.,,"Maximum size for enclosure cards: 5"" x 3"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,BNH102_HERO.jpg,BNH102_WEB.jpg,BNH102_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
BNH111,BNH124,,7,5,3,Beech Post-it® Note Holder,2,24,18.95,18.65,18.35,18.35,17.95,,,4C,X,"If you're like me, you can never find a Post-it® note pad on your desk. I can have a half dozen one day, and the next day they're gone! Our Post-it® note holder crafted from American Beech is the solution. It keeps a note pad close at hand. We apply a hand-rubbed natural oil finish to bring out the natural beauty of the wood, then firebrand your logo on the holder. Of course, we include your choice of six-ounces of crunchy Virginia Peanuts, five-ounces of lightly-salted Extra Fancy Jumbo Cashews, or five-ounces of our famous Chocolate Covered Almonds.","If you're like me, you can never find a Post-it® note pad on your desk. I can have a half dozen one day, and the next day they're gone! Our Post-it® note holder crafted from American Beech is the solution. It keeps a note pad close at hand. We apply a hand-rubbed natural oil finish to bring out the natural beauty of the wood, then firebrand your logo on the holder. Of course, we include six-ounces of crunchy Virginia Peanuts.",,X,X,12,1,13,,Note Holder,5,3,0.875,Gift Box,6.25,5.25,2.25,Price includes firebranded imprint.,2.5,1,Individual mailing carton is included at no charge.,,"Maximum size for enclosure cards: 5"" x 3"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,BNH111_HERO.jpg,BNH111_WEB.jpg,BNH111_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
BNH124,BNH124,,7,5,2,Beech Post-it® Note Holder,3,24,22.95,22.65,22.35,22.35,21.95,,,4C,X,"If you're like me, you can never find a Post-it® note pad on your desk. I can have a half dozen one day, and the next day they're gone! Our Post-it® note holder crafted from American Beech is the solution. It keeps a note pad close at hand. We apply a hand-rubbed natural oil finish to bring out the natural beauty of the wood, then firebrand your logo on the holder. Of course, we include your choice of six-ounces of crunchy Virginia Peanuts, five-ounces of lightly-salted Extra Fancy Jumbo Cashews, or five-ounces of our famous Chocolate Covered Almonds.","If you're like me, you can never find a Post-it® note pad on your desk. I can have a half dozen one day, and the next day they're gone! Our Post-it® note holder crafted from American Beech is the solution. It keeps a note pad close at hand. We apply a hand-rubbed natural oil finish to bring out the natural beauty of the wood, then firebrand your logo on the holder. Of course, we include five-ounces of Chocolate Covered Almonds.",,X,X,12,1,13,,Note Holder,5,3,0.875,Gift Box,6.25,5.25,2.25,Price includes firebranded imprint.,2.5,1,Individual mailing carton is included at no charge.,,"Maximum size for enclosure cards: 5"" x 3"".",5 working days. Orders utilizing individual drop shipment directly to recipients will be available for shipment 10 working days from factory's receipt of complete and accurate mailing list.,,,BNH124_HERO.jpg,BNH124_WEB.jpg,BNH124_THUMB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
