MRF Item #	Category	Subcategory	New	Item Name	Min Qty	Min -47	48-95	96-239	240-479	480-959	300-599	600-2399	Mfg Code	Setup Charge	Reorder Setup Charge	Setup Charge Code	Catalog Copy	Ingredient Box (List of Ingredients)	Kosher	Units/Case	Ship Weight Each	Weight per Case	"Dimensional
Weight
Applies"	Drop Ship Available	Description	"Product Dimensions
L"	"Product Dimensions
W"	"Product Dimensions
H"	Imprint Details	"Imprint Dimensions
L"	"Imprint Dimensions
W"	Gift Cards Available	Packaging	Extra Bullets	Production Time	Image Filename
BPD180CA	6		X	Bite-Sized Chocolate Chip Cookies in Blue Premium Delights Gift Box	24	12.00	12.00	11.95	11.95	11.90			3C	50.00	20.00	C	"These gourmet bite-sized chocolate chip cookies were created by our chef, who received his degrees in Culinary Baking & Pastry Arts from the Culinary Institute of America, widely regarded as the finest culinary school in the world. Approximately 20 cookies come packed in a metallic blue gift box imprinted with your logo in silver and complete with a silver bow."	"Chocolate Chip Cookies, 4.5 oz."	X	48	1	28	X	X	Gift Box	3.5	2	6	Price includes imprint foil-stamped in silver on gift box.	2	2	X	Individual mailing carton is available at additional charge.	"Maximum size for enclosure cards: 5"" x 3.25""."	5 working days.	BPD180_NoBkgd.jpg
BPD181CA	6		X	Bite-Sized Lemon Meringue Cookies in Blue Premium Delights Gift Box	24	12.00	12.00	11.95	11.95	11.90			3C	50.00	20.00	C	"These gourmet bite-sized lemon meringue cookies were created by our chef, who received his degrees in Culinary Baking & Pastry Arts from the Culinary Institute of America, widely regarded as the finest culinary school in the world. Approximately 50 cookies come packed in a metallic blue gift box imprinted with your logo in silver and complete with a silver bow."	"Lemon Meringue Cookies, 4.5 oz."	X	48	1	28	X	X	Gift Box	3.5	2	6	Price includes imprint foil-stamped in silver on gift box.	2	2	X	Individual mailing carton is available at additional charge.	"Maximum size for enclosure cards: 5"" x 3.25""."	5 working days.	BPD181_NoBkgd.jpg
BPD182CA	6		X	Bite-Sized Butter Toffee Pecan Cookies in Blue Premium Delights Gift Box	24	12.00	12.00	11.95	11.95	11.90			3C	50.00	20.00	C	"These gourmet bite-sized butter toffee pecan cookies were created by our chef, who received his degrees in Culinary Baking & Pastry Arts from the Culinary Institute of America, widely regarded as the finest culinary school in the world. Approximately 50 cookies come packed in a metallic blue gift box imprinted with your logo in silver and complete with a silver bow."	"Butter Toffee Pecan Cookies, 4.5 oz."	X	48	1	28	X	X	Gift Box	3.5	2	6	Price includes imprint foil-stamped in silver on gift box.	2	2	X	Individual mailing carton is available at additional charge.	"Maximum size for enclosure cards: 5"" x 3.25""."	5 working days.	BPD182_NoBkgd.jpg
BPD183CA	6		X	Bite-Sized Cranberry Shortbread Cookies in Blue Premium Delights Gift Box	24	12.00	12.00	11.95	11.95	11.90			3C	50.00	20.00	C	"These gourmet bite-sized cranberry shortbread cookies were created by our chef, who received his degrees in Culinary Baking & Pastry Arts from the Culinary Institute of America, widely regarded as the finest culinary school in the world. Approximately 20 cookies come packed in a metallic blue gift box imprinted with your logo in silver and complete with a silver bow."	"Cranberry Shortbread Cookies, 4.5 oz."	X	48	1	28	X	X	Gift Box	3.5	2	6	Price includes imprint foil-stamped in silver on gift box.	2	2	X	Individual mailing carton is available at additional charge.	"Maximum size for enclosure cards: 5"" x 3.25""."	5 working days.	BPD183_NoBkgd.jpg
BPD185CA	6		X	Bite-Sized Snickerdoodle Crisp Cookies in Blue Premium Delights Gift Box	24	12.00	12.00	11.95	11.95	11.90			3C	50.00	20.00	C	"These gourmet bite-sized snickerdoodle crisp cookies were created by our chef, who received his degrees in Culinary Baking & Pastry Arts from the Culinary Institute of America, widely regarded as the finest culinary school in the world. Approximately 20 cookies come packed in a metallic blue gift box imprinted with your logo in silver and complete with a silver bow."	"Snickerdoodle Crisp Cookies, 2.5 oz."	X	48	1	28	X	X	Gift Box	3.5	2	6	Price includes imprint foil-stamped in silver on gift box.	2	2	X	Individual mailing carton is available at additional charge.	"Maximum size for enclosure cards: 5"" x 3.25""."	5 working days.	BPD185_NoBkgd.jpg
BPD188CA	6		X	Bite-Sized Mixed Berry Tea Cookies in Blue Premium Delights Gift Box	24	12.00	12.00	11.95	11.95	11.90			3C	50.00	20.00	C	"These gourmet bite-sized mixed berry tea cookies were created by our chef, who received his degrees in Culinary Baking & Pastry Arts from the Culinary Institute of America, widely regarded as the finest culinary school in the world. Approximately 20 cookies come packed in a metallic blue gift box imprinted with your logo in silver and complete with a silver bow."	"Mixed Berry Tea Cookies, 4.5 oz."	X	48	1	28	X	X	Gift Box	3.5	2	6	Price includes imprint foil-stamped in silver on gift box.	2	2	X	Individual mailing carton is available at additional charge.	"Maximum size for enclosure cards: 5"" x 3.25""."	5 working days.	BPD188_NoBkgd.jpg
BTB102CA	9	9		Extra Fancy Jumbo Cashews in Black & White Triangular Box	24	14.20	14.20	14.15	14.15	14.10			3C	50.00	20.00	C	"These stylish Black & White Gift Boxes are guaranteed to make a big impact! They're filled with our famous Extra Fancy Jumbo Cashews, five-ounces. Your logo or promotional message is hot-stamped in white on the front of the gift box complemented by a white satin bow."	"Extra Fancy Jumbo Cashews, 5 oz."		24	1	32	X	X	Gift Box	6	2.25	4.875	Price includes imprint foil-stamped in white on gift box.	3	1.5	X	Individual mailing carton is available at additional charge.	"Maximum size for enclosure cards: 5"" x 3.25""."	5 working days.	BTB102_NoBkgd.jpg
BTB121CA	9	9		English Butter Toffee in Black & White Triangular Box	24	15.25	15.25	15.25	15.25	15.15			3C	50.00	20.00	C	"These stylish Black & White Gift Boxes are guaranteed to make a big impact! They're filled with twelve pieces of our signature English Butter Toffee, five-ounces. Your logo or promotional message is hot-stamped in white on the front of the gift box complemented by a white satin bow."	"English Butter Toffee, 5 oz. (12 pieces)"		24	1	32	X	X	Gift Box	6	2.25	4.875	Price includes imprint foil-stamped in white on gift box.	3	1.5	X	Individual mailing carton is available at additional charge.	"Maximum size for enclosure cards: 5"" x 3.25""."	5 working days.	BTB121_NoBkgd.jpg
BTB124CA	9	9		Chocolate Covered Almonds in Black & White Triangular Box	24	14.20	14.20	14.15	14.15	14.10			3C	50.00	20.00	C	"These stylish Black & White Gift Boxes are guaranteed to make a big impact! They're filled with our famous Chocolate Covered Almonds, five-ounces. Your logo or promotional message is hot-stamped in white on the front of the gift box complemented by a white satin bow."	"Chocolate Covered Almonds, 5 oz."	X	24	1	32	X	X	Gift Box	6	2.25	4.875	Price includes imprint foil-stamped in white on gift box.	3	1.5	X	Individual mailing carton is available at additional charge.	"Maximum size for enclosure cards: 5"" x 3.25""."	5 working days.	BTB124_NoBkgd.jpg
BTB143CA	9	9		Cocoa Dusted Truffles in Black & White Triangular Box	24	15.25	15.25	15.25	15.25	15.15			3C	50.00	20.00	C	"These stylish Black & White Gift Boxes are guaranteed to make a big impact! They're filled with 11 Cocoa Dusted Truffles, three and one-half-ounces. Your logo or promotional message is hot-stamped in white on the front of the gift box complemented by a white satin bow."	"Cocoa Dusted Truffles, 3.5 oz. (11 pieces)"		24	1	32	X	X	Gift Box	6	2.25	4.875	Price includes imprint foil-stamped in white on gift box.	3	1.5	X	Individual mailing carton is available at additional charge.	"Maximum size for enclosure cards: 5"" x 3.25""."	5 working days.	BTB143_NoBkgd.jpg
